index,mean,variance
0,732898.0,
1,2995664.0,10240219941512.0
2,3264439.3333333335,5336830510181.333
3,4831099.5,13375583318067.666
4,3864880.0,14699588099452.0
5,3435326.0,12866770313057.6
6,4695730.0,21842636296726.668
7,4108764.0,21478492364156.57
8,4624393.777777778,21186547428217.445
9,4202760.2,20610235341956.848
10,3832345.8181818184,20058486764596.367
11,4180526.6666666665,19689746806834.426
12,3858948.0,19393301478048.004
13,3681887.714285714,18340413883540.836
14,3735601.6,17073662043208.688
15,3502126.75,16807585996315.135
16,3328510.3529411764,16269536978116.12
17,3964444.3333333335,22591921884681.53
18,3755789.4736842103,22164015271959.047
19,3568000.1,21702785129756.414
20,3584605.0476190476,20623436083262.65
21,3421668.5454545454,20225430380572.645
22,3304574.695652174,19621444938216.59
23,3213226.0,18968608657291.48
24,3213752.08,18178256882241.83
25,3291488.769230769,17608244421118.746
26,3404951.3333333335,17278595594299.385
27,3732125.5714285714,19635851107374.92
28,3603431.9310344825,19414870249941.566
29,3532261.6666666665,18897348161366.367
30,3766736.7741935486,19971772413529.516
31,3738189.5625,19353599875967.676
32,3706039.3333333335,18782909908614.17
33,3602557.705882353,18577818025951.066
34,3499627.5428571426,18402223259536.97
35,3402415.722222222,18216650422683.24
36,3378690.6486486485,17731458882681.13
37,3372745.5263157897,17253573354453.287
38,3326720.4615384615,16882145907311.26
39,3451956.85,17076636491021.93
40,3523886.487804878,16861849363330.76
41,3723895.3333333335,18130733352877.207
42,3637293.1627906975,18021546470963.668
43,3656229.6363636362,17618218700461.45
44,3611618.0,17307363553544.188
45,3647043.652173913,16980484408846.104
46,3731956.4680851065,16950222199816.91
47,3654207.625,16879733539140.37
48,3642528.5306122447,16534756084781.799
49,3619023.0,16224937581519.717
50,3548061.843137255,16157248604837.578
51,3555834.346153846,15843581222427.723
52,3703987.5849056602,16702214222240.826
53,3644184.222222222,16580205983005.387
54,3699678.8363636364,16442546002396.996
55,3633613.1785714286,16388012204348.191
56,3581928.8421052634,16247631555519.568
57,3569823.5862068967,15971084546660.041
58,3593070.2033898304,15727604927410.033
59,3543007.433333333,15611412209112.967
60,3862953.1475409837,21595502868058.2
61,3800647.6129032257,21482160968959.723
62,3752587.492063492,21281190340271.613
63,3806714.75,21130898311514.227
64,3783201.230769231,20836665588526.84
65,3744633.8484848486,20614272738983.305
66,3886775.104477612,21655612429139.555
67,3900053.970588235,21344384656574.75
68,3870281.3913043477,21091658693847.098
69,3826921.6,20917587486029.754
70,3835217.0140845072,20623650594191.074
71,3867735.5833333335,20409313571071.547
72,3814752.9315068494,20330773664387.793
73,3781080.8378378376,20136171847572.61
74,3746121.52,19955722959976.53
75,3696830.4736842103,19874296804608.312
76,3687595.7662337665,19619359445555.055
77,3772252.6666666665,19923572251329.426
78,3724502.658227848,19848266839017.516
79,3757789.6,19685664594382.73
80,3711397.185185185,19613926535293.285
81,3729260.5853658537,19397945581530.03
82,3708181.1807228914,19198265597468.598
83,3664036.1904761903,19130658726445.85
84,3620929.905882353,19060855689802.477
85,3588153.6744186045,18928998524756.984
86,3584517.2183908047,18710044362430.65
87,3569548.8863636362,18514702866056.734
88,3635480.0224719103,18691183924365.055
89,3611087.466666667,18534720331928.17
90,3755687.846153846,20231522541959.85
91,3754983.282608696,20009243788122.434
92,3714607.1612903224,19943363506879.344
93,3740143.723404255,19790217642420.45
94,3700773.8105263156,19726932465983.504
95,3680020.6041666665,19560627320412.734
96,3642082.2680412373,19496484568577.81
97,3755069.6326530613,20546572049372.49
98,3772503.01010101,20367001493184.527
99,3734778.02,20303591693186.715
100,3742506.198019802,20106587974540.926
101,3777618.843137255,20033268426488.836
102,3767073.3203883497,19848318263227.188
103,3752452.2884615385,19677848699925.633
104,3807757.0857142857,19809793779185.09
105,3919454.037735849,20943607240162.367
106,3882823.644859813,20889597107784.523
107,3849648.425925926,20813231504614.145
108,4000285.376146789,23093888892220.8
109,3992458.5272727273,22888756903887.914
110,3960215.171171171,22796076671079.535
111,3932669.1964285714,22675690052125.953
112,3932169.5398230087,22473256745013.156
113,3897676.8421052634,22410009433065.348
114,3893622.747826087,22215320506199.55
115,3898050.827586207,22024418321427.637
116,3935098.2905982905,21995136844571.824
117,3903193.9491525423,21927254888332.9
118,3900482.2352941176,21742305748017.918
119,3936539.55,21715612889609.79
120,3937053.7685950412,21534681443775.426
121,3904782.8524590163,21483761137307.445
122,4033110.926829268,23333240379146.59
123,4000585.85483871,23274716396043.6
124,4015589.584,23115156056362.227
125,4032673.238095238,22967008063804.293
126,4000919.9212598423,22912780909544.293
127,3977684.46875,22801470752258.5
128,3969202.6666666665,22632614646695.41
129,3951347.4923076923,22498612964207.848
130,3937633.5572519084,22350184144564.59
131,3954907.227272727,22218958169088.42
132,3989043.007518797,22205611176983.57
133,3959274.0447761193,22157401307581.7
134,3935215.762962963,22070185691193.51
135,3922112.2352941176,21930054365703.78
136,3925663.8248175182,21770532054931.516
137,4018701.652173913,22806156211879.195
138,4003242.489208633,22674113225366.44
139,4043070.5857142857,22733068926614.086
140,4038217.659574468,22574010538641.27
141,4011593.2816901407,22514568937796.29
142,3990029.006993007,22422513201296.965
143,3962320.5,22376270045488.043
144,3947567.0620689653,22252440551247.074
145,3925251.7260273974,22171679680503.72
146,3898549.3469387754,22124632366976.133
147,3899917.554054054,21974401718424.55
148,3909362.2281879196,21839217109692.637
149,3975922.946666667,22357194569443.008
150,3949680.8344370862,22312132522241.477
151,3923696.1052631577,22267001390043.61
152,3916139.045751634,22129245659560.445
153,3890709.6103896103,22084195119170.324
