,#Movement
0,2
1,4353302
2,3524552
3,4
4,5439268
5,4957708
6,2024780
7,1691348
8,3475652
9,2
10,4
11,2
12,10591410
13,1131076
14,5328372
15,5232444
16,444762
17,1439754
18,2
19,13244076
20,2
21,2
22,2
23,5480974
24,2
25,10930056
26,3462802
27,3299108
28,1618018
29,2098918
30,4
31,10675554
32,1936556
33,10163966
34,1384332
35,1094198
36,9557376
37,5817724
38,5034244
39,3466396
40,849542
41,3466062
42,19689136
43,4
44,455920
45,5656270
46,3580500
47,5356870
48,5765538
49,1016176
50,6886370
51,836562
52,2
53,2977684
54,4616570
55,302800
56,2
57,5359126
58,1112206
59,3152776
60,2220066
61,2
62,3506642
63,1538818
64,4235406
65,1002886
66,2437260
67,4733790
68,2473768
69,12597660
70,5123092
71,10898764
72,1306608
73,5517462
74,1510746
75,3099006
76,2
77,2786310
78,1782400
79,4
80,136804
81,6
82,2
83,6
84,4162638
85,9559456
86,2677232
87,23059696
88,249262
89,3648230
90,6
91,1703964
92,5474
93,14663302
94,2
95,14775322
96,12924
97,2
98,1440150
99,2827000
100,21041772
101,6390292
102,827602
103,5639672
104,8895566
105,20269076
106,3539514
107,2
108,132626
109,846240
110,10087372
111,4
112,21905720
113,2
114,2
115,16764884
116,1204768
117,1039714
118,4941374
119,4
120,1577028
121,802174
122,668740
123,1950446
124,5684978
125,2040838
126,255406
127,10941210
128,2
129,12560276
130,6825494
131,13648086
132,5442592
133,2
134,6943290
135,3751202
136,14912574
137,1259580
138,6705690
139,3214916
140,297722
141,3383342
142,6281244
143,611942
144,1823072
145,2937264
146,2
147,2
148,4
149,6115044
150,634218
151,5876052
152,4309022
153,194142
154,1015034
155,4
156,1708466
157,116130
158,454942
159,1197884
160,4156036
161,787630
162,18379476
163,7800806
164,4893732
165,15084698
166,3782202
167,3667042
168,4747234
169,4189176
170,13467614
171,1633696
172,1004022
173,2
174,744022
175,4408680
176,3450918
177,1591332
178,7723484
179,2567346
180,687606
181,14356408
182,9959096
183,2
184,1670216
185,2
186,2
187,2
188,1869878
189,7615820
190,2162664
191,6549808
192,2467252
193,2992746
194,7312862
195,1368096
196,1258750
197,2559284
198,2865190
199,309572
200,875066
201,2
202,4678140
203,2
204,1238112
205,1425550
206,4531008
207,6887274
208,2
209,2610508
210,2181302
211,5291342
212,13364
213,6229032
214,10572828
215,4
216,1577768
217,2278336
218,6409110
219,927902
220,1284278
221,957148
222,4
223,1346420
224,2
225,3545616
226,259800
227,1940954
228,790872
229,23680450
230,2524588
231,4635384
232,2083066
233,1159132
234,2025332
235,2
236,7475862
237,1065806
238,2
239,576272
240,4
241,306686
242,3894124
243,1735106
244,6217758
245,3981870
246,11500386
247,9922654
248,2
249,2331456
250,257556
251,4076156
252,1784450
253,140116
254,3081932
255,2688882
256,8855462
257,8448298
258,9601710
259,2
260,4110216
261,918980
262,1468324
263,835096
264,532934
265,1111696
266,1051618
267,8749432
268,2
269,3876208
270,1432518
271,2804016
272,2
273,2
274,7140816
275,1074680
276,1249096
277,10049344
278,2344346
279,17697604
280,7740136
281,189986
282,2
283,2
284,600332
285,3832020
286,4831224
287,4
288,6
289,2550424
290,2
291,3435362
292,142784
293,2
294,6674484
295,1004264
296,875824
297,7777450
298,5797374
299,6
300,1666766
301,902178
302,14555516
303,3178142
304,2464034
305,5952482
306,2
307,6186496
308,2985758
309,2620438
310,13218148
311,1916758
312,2637020
313,12
314,3271782
315,11951918
316,3916704
317,2
318,2
319,2362696
320,13690868
321,13893470
322,2
323,396244
324,22004016
325,978414
326,6
327,5690548
328,4
329,11902074
330,2230428
331,2274288
332,2039180
333,928772
334,4808334
335,3238458
336,1955906
337,7538844
338,106056
339,2
340,811684
341,1822712
342,923832
343,689528
344,4570418
345,907038
346,337422
347,2
348,537486
349,2957836
350,2
351,6
352,5093736
353,128202
354,3430948
355,10253422
356,190866
357,2
358,5258430
359,7149510
360,11407956
361,478104
362,408058
363,15032738
364,2
365,609358
366,172066
367,2710468
368,4513780
369,2330120
370,2
371,481770
372,1414250
373,1056254
374,2325688
375,1110548
376,5372910
377,3139332
378,2
379,634358
380,550648
381,10
382,1616012
383,17508600
384,1083454
385,5161362
386,4
387,13775702
388,4
389,4322806
390,2
391,2504796
392,3487176
393,3001618
394,1997282
395,2
396,299900
397,1382350
398,1931520
399,171620
400,6167962
401,12
402,10479668
403,6559992
404,2153136
405,2
406,1589302
407,2
408,2
409,5734742
410,2879824
411,5010696
412,6
413,6865156
414,15647634
415,7637946
416,427460
417,8713434
418,2
419,831820
420,2
421,2
422,4721482
423,590002
424,10166612
425,6984446
426,2
427,2
428,4314344
429,13268098
430,17002544
431,319852
432,15555066
433,2
434,3013158
435,1323018
436,3207790
437,4
438,2
439,6354978
440,2
441,6
442,8451468
443,2
444,8745840
445,4
446,2
447,7659356
448,721342
449,8336176
450,13963328
451,18922
452,1366290
453,5715724
454,2
455,474606
456,2853226
457,2
458,5909642
459,1430294
460,2
461,4748836
462,5267276
463,3145538
464,10820272
465,1026782
466,3012578
467,4779564
468,2
469,9579176
470,2
471,1286396
472,1566784
473,2
474,2
475,1016002
476,2
477,1603058
478,4789738
479,187664
480,3299198
481,18593984
482,3374542
483,14832916
484,3226378
485,1825822
486,12982536
487,4298466
488,7301070
489,7347246
490,2
491,3524068
492,3998760
493,11481262
494,13502056
495,2004740
496,637446
497,5892234
498,2
499,3358808
500,1264900
501,4132876
502,1413752
503,5171948
504,2
505,1505568
506,3862840
507,11924258
508,3750364
509,1680410
510,4106044
511,2883532
512,8494966
513,2
514,3004994
515,731904
516,415640
517,2078620
518,1884688
519,2
520,6639438
521,4958742
522,888420
523,502060
524,4
525,1993950
526,3550210
527,1267814
528,2
529,3667964
530,2
531,5609054
532,6474974
533,3387182
534,7323996
535,2
536,2
537,8476012
538,728510
539,484278
540,2951274
541,4437854
542,8072422
543,3117158
544,2532244
545,2
546,11884568
547,2873284
548,2
549,411690
550,1272132
551,4515324
552,218060
553,145796
554,626538
555,10826524
556,2
557,507836
558,2499736
559,14896576
560,19381360
561,2
562,2
563,10
564,8045764
565,1156094
566,8165036
567,3415960
568,52576
569,7451368
570,2
571,6151760
572,2474194
573,2
574,2
575,2246486
576,7077866
577,3601374
578,5176196
579,1898490
580,941452
581,7434234
